mix_id,w_c_ratio,w_b_ratio,k_flag,wb_k_reported
787,0.65,0.65,FALSE,
5633,,0.65,FALSE,
5632,,0.65,FALSE,
5636,,0.65,FALSE,
5635,,0.65,FALSE,
5634,,0.65,FALSE,
5621,,0.65,FALSE,
5618,,0.65,FALSE,
5617,,0.65,FALSE,
5620,,0.65,FALSE,
5619,,0.65,FALSE,
6584,,0.649,FALSE,
5596,,0.649,FALSE,
6626,,0.649,FALSE,
968,1.25,0.649,FALSE,
5606,,0.649,FALSE,
6602,,0.649,FALSE,
6620,,0.649,FALSE,
6572,,0.649,FALSE,
6590,,0.649,FALSE,
905,1.25,0.649,FALSE,
6608,,0.649,FALSE,
5601,,0.649,FALSE,
6566,,0.649,FALSE,
13342,,0.648,TRUE,0.65
927,1.25,0.648,FALSE,
13178,,0.648,TRUE,0.57
13172,,0.648,TRUE,0.57
13170,,0.648,TRUE,0.57
13171,,0.648,TRUE,0.57
909,1.25,0.648,FALSE,
13340,,0.647,TRUE,0.65
13586,,0.645,TRUE,0.72
4896,,0.645,FALSE,
13523,,0.644,TRUE,0.41
13526,,0.643,TRUE,0.41
4331,,0.643,FALSE,
4334,,0.643,FALSE,
4332,,0.643,FALSE,
4333,,0.643,FALSE,
13529,,0.641,TRUE,0.41
5116,,0.641,FALSE,
13508,,0.64,TRUE,0.57
8042,0.64,0.64,FALSE,
8041,0.64,0.64,FALSE,
8043,0.64,0.64,FALSE,
13511,,0.64,TRUE,0.57
13584,,0.639,TRUE,0.94
13590,,0.639,TRUE,0.94
4428,,0.638,FALSE,
4427,,0.636,FALSE,
13499,,0.635,TRUE,0.56
4429,,0.635,FALSE,
13222,,0.633,TRUE,0.63
13243,,0.633,TRUE,0.63
13185,,0.633,TRUE,0.56
13248,,0.633,TRUE,0.56
13247,,0.633,TRUE,0.59
13234,,0.633,TRUE,0.59
13235,,0.633,TRUE,0.56
12913,,0.633,TRUE,0.56
13240,,0.633,TRUE,0.56
13237,,0.633,TRUE,0.63
13347,,0.631,TRUE,0.63
13349,,0.631,TRUE,0.63
13348,,0.631,TRUE,0.63
13350,,0.631,TRUE,0.63
13588,,0.631,TRUE,0.72
628,0.63,0.63,FALSE,
827,0.63,0.63,FALSE,
828,0.63,0.63,FALSE,
829,0.63,0.63,FALSE,
785,0.63,0.63,FALSE,
784,0.63,0.63,FALSE,
571,0.63,0.63,FALSE,
8040,0.63,0.63,FALSE,
631,0.63,0.63,FALSE,
8039,0.63,0.63,FALSE,
8038,0.63,0.63,FALSE,
13512,,0.63,TRUE,0.56
13510,,0.63,TRUE,0.56
4894,,0.63,FALSE,
8037,0.63,0.63,FALSE,
746,0.63,0.63,FALSE,
629,0.63,0.63,FALSE,
630,0.63,0.63,FALSE,
576,0.63,0.63,FALSE,
627,0.63,0.63,FALSE,
744,0.63,0.63,FALSE,
745,0.63,0.63,FALSE,
13440,,0.627,TRUE,0.63
13446,,0.627,TRUE,0.63
13452,,0.627,TRUE,0.63
13428,,0.627,TRUE,0.63
13434,,0.627,TRUE,0.63
13401,,0.626,TRUE,0.61
13207,,0.625,TRUE,0.57
12987,,0.625,TRUE,0.57
12773,,0.625,TRUE,0.55
12793,,0.625,TRUE,0.55
12513,,0.625,TRUE,0.57
13063,,0.625,TRUE,0.57
13041,,0.625,TRUE,0.57
13043,,0.625,TRUE,0.57
13200,,0.625,TRUE,0.57
13208,,0.625,TRUE,0.57
12989,,0.625,TRUE,0.57
12775,,0.625,TRUE,0.55
12794,,0.625,TRUE,0.55
12780,,0.625,TRUE,0.57
12988,,0.625,TRUE,0.57
12774,,0.625,TRUE,0.55
13202,,0.624,TRUE,0.57
13201,,0.624,TRUE,0.57
