item number,reference number,mix_name_ref,binder(s),cement type,cemen_strength_class,clinker content,cement content,scm1 type,scm1 content (kg/m3),scm2 type,scm2 content (kg/m3),water content (kg/m3),water binder ratio,admixture1_type,admixture1_kgm3,admixture2_type,admixture2_kgm3,fcm. cube 150. wet curing (28 d)
871,32876,13,CEM I with GGBFS,CEM I,32.5R,1,200,GGBFS,200,,0,160,0.4,SP,4.4,,0,71.174
872,32876,14,CEM I with GGBFS,CEM I,32.5R,1,200,GGBFS,200,,0,160,0.4,SP,4.4,,0,82.208
873,32876,15,CEM I with GGBFS,CEM I,32.5R,1,200,GGBFS,200,,0,160,0.4,SP,6,,0,123.433
874,32876,16,CEM I with GGBFS,CEM I,32.5R,1,229,GGBFS,229,,0,160,0.35,SP,5.1067,,0,105.124
875,32876,17,CEM I,CEM I,32.5R,1,533,,0,,0,160,0.3,SP,9.3808,,0,107.428
876,32876,18,CEM I with GGBFS,CEM I,32.5R,1,267,GGBFS,267,,0,160,0.3,SP,6.7818,,0,97.485
877,32876,19,CEM I with GGBFS,CEM I,32.5R,1,267,GGBFS,267,,0,160,0.3,SP,6.7818,,0,126.343
878,32876,20,CEM I with GGBFS,CEM I,32.5R,1,267,GGBFS,267,,0,160,0.3,SP,7.9833,,0,133.375
879,59064,Control,CEM I,CEM I,,1,315,,0,,0,189,0.6,,0,,0,37.248
880,59064,Blend 1,CEM I with GGBFS,CEM I,,1,157.5,GGBFS,157.5,,0,189,0.6,,0,,0,44.523
881,40965,1,CEM I,CEM I,32.5R,1,618,,0,,0,186,0.3,air_entrainer,0.3708,,0,73.599
882,40965,2,CEM I with GGBFS,CEM I,32.5R,1,463,GGBFS,155,,0,186,0.3,air_entrainer,0.30095,,0,66.809
883,40965,3,CEM I with GGBFS,CEM I,32.5R,1,362,GGBFS,297,,0,198,0.3,air_entrainer,0.51042,,0,61.959
