Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
901,2014,Pedro et al.,0.65,0,18.67,933.33,280,,2590,,,,,,,33
902,2014,Pedro et al.,0.65,46.67,0,933.33,280,2708,,,,,,,,35
912,2012,Limbachia et al.,0.66,0,640,625,275,,2510,,22,,1.4,70,6x12 Cylinder,21
913,2012,Limbachia et al.,0.66,192,448,625,275,2340,2510,20,22,5.3,1.4,70,6x12 Cylinder,20
914,2014,Pedro et al.,0.66,18.67,0,933.33,280,2640,,,,,,,,35
915,2008,Casuccio et al.,0.67,149.6,0,880,264,2500,,30,,3.8,,,4x8 Cylinder,18
916,2008,Casuccio et al.,0.67,148.47,0,873.33,262,2500,,30,,3.9,,,4x8 Cylinder,15.4
917,2012,Pereira et al.,0.67,0,280,875,350,,2720,,20,,0.6,130,6x6x6 Cube,65.2
918,2012,Pereira et al.,0.67,350,350,700,350,2010,2720,12,20,10.9,0.6,130,6x6x6 Cube,47.8
919,2013,Sheen et al.,0.67,0,294,735,294,,2630,,25,,1.2,130,4x8 Cylinder,23.6
920,2013,Sheen et al.,0.67,294,0,735,294,2260,,25,,7.5,,120,4x8 Cylinder,21.6
921,2013,Sheen et al.,0.67,441,0,588,294,2260,,25,,7.5,,110,4x8 Cylinder,18
922,2013,Sheen et al.,0.67,441,0,588,294,2260,,25,,7.5,,105,4x8 Cylinder,18.8
923,2013,Thomas et al.,0.67,0,73.33,916.67,275,,2540,,20,,1.8,,6x12 Cylinder,37
925,2014,Pedro et al.,0.67,46.67,0,933.33,280,2484,,22,,5.4,,240,4x4x4 Cube,41.1
926,2014,Thomas et al.1,0.67,0,73.33,916.67,275,,2730,,19,,0.5,,4x8 Cylinder,62
928,2018,Thomas et al. 3,0.67,0,73.33,916.67,275,,2540,,20,,1.8,16,,62
932,2012,Pereira et al.,0.68,1096.67,0,583.33,350,2010,,12,,10.9,,125,6x6x6 Cube,45.1
933,2013,Thomas et al.,0.68,3.67,14.67,916.67,275,2320,2540,20,20,5.3,1.8,,6x12 Cylinder,33.5
934,2014,Duan and Poon,0.68,0,473.33,666.67,300,,2600,,20,,,,4x4x4 Cube,34.5
935,2014,Duan and Poon,0.68,330,0,750,300,2450,,20,,3.1,,,4x4x4 Cube,35
936,2014,Duan and Poon,0.68,270,0,750,300,2370,,20,,7.1,,,4x4x4 Cube,29.2
937,2014,Duan and Poon,0.68,270,0,750,300,2360,,20,,7.8,,,4x4x4 Cube,27.7
938,2014,Thomas et al.1,0.68,3.67,14.67,916.67,275,2320,2730,19,19,5.3,0.5,,4x8 Cylinder,64.8
939,2018,Thomas et al. 3,0.68,20.17,80.67,916.67,275,2320,2540,20,20,5.3,1.8,15,,64.8
940,2014,Pedro et al.,0.69,46.67,0,933.33,280,2455,,22,,6.4,,240,4x4x4 Cube,36.1
944,2008,Casuccio et al.,0.7,0,201.63,876.67,263,,2700,,10,,0.5,,4x8 Cylinder,18.1
945,2012,Pereira et al.,0.7,41.22,371,777.78,350,2010,2720,12,20,10.9,0.6,122,6x6x6 Cube,64.6
947,2014,Pedro et al.,0.7,18.67,0,933.33,280,2387,,22,,6.9,,240,4x4x4 Cube,35.7
948,2014,Pepe et al.,0.7,20,0,1000,300,1946,,19,,11.9,,,4x8 Cylinder,29.9
951,2014,Beltran et al.1,0.72,0,990,750,300,,2680,,20,,,,6x12 Cylinder,30.8
952,2014,Beltran et al.1,0.72,204,816,750,300,2380,2680,20,20,6.94,,,6x12 Cylinder,26.8
953,2014,Beltran et al.1,0.72,420,630,750,300,2380,2680,20,20,6.94,,,6x12 Cylinder,26.6
954,2014,Butler et al.,0.72,162,0,810,243,2480,,19,,4.66,,100,,30.7
966,2013,Sheen et al.,0.8,0,215.8,830,249,,2630,,25,,1.2,145,4x8 Cylinder,17.3
967,2013,Sheen et al.,0.8,215.8,0,830,249,2260,,25,,7.5,,135,4x8 Cylinder,16.1
968,2013,Sheen et al.,0.8,423.3,0,622.5,249,2260,,25,,7.5,,130,4x8 Cylinder,13.4
969,2013,Sheen et al.,0.8,423.3,0,622.5,249,2260,,25,,7.5,,130,4x8 Cylinder,13.9
979,2014,Pedro et al.,0.99,245,0,700,210,2401,,22,,7.6,,240,4x4x4 Cube,21
