Mix Number,Year of Publication,Source,Eff. W/C ratio,RCA Content,NCA Content,NFA Content,Cement Content kg/m^3,RCA Bulk Density kg/m^3,NCA Bulk Density kg/m^3,RCA Agg. Size,NCA Size (mm),RCA Water Absorption [%],NCA Water Absorption [%],Slump mm,Specimen Type [in.],Compressive Strength
439,2013,Thomas et al.,0.46,0,228,760,380,,2540,,20,,1.8,,6x12 Cylinder,51.5
440,2014,Pedro et al.,0.46,105,0,875,350,2362,,22,,4.2,,240,4x4x4 Cube,66.8
442,2018,Nisreen et al.,0.46,0,200,800,400,,2650,,14,,0.7,100,6x6x6 Cube,36
443,2018,Nisreen et al.,0.46,70,130,800,400,2400,2650,14,14,3.6,0.7,100,6x6x6 Cube,35
444,2018,Nisreen et al.,0.46,200,0,800,400,2400,,14,,3.6,,100,6x6x6 Cube,33
445,2018,Thomas et al. 3,0.46,0,297.09,690.91,380,,2540,,20,,1.8,15,,62
446,2002,Gomez-Sobreron,0.47,0,200,800,400,2570,,,20,,0.9,,6x12 Cylinder,39
447,2002,Gomez-Sobreron,0.47,30,170,800,400,2280,,20,20,5.8,0.9,,6x12 Cylinder,38.1
452,2012,Limbachia et al.,0.47,341,341,550,385,2340,2510,20,22,5.3,1.4,60,6x12 Cylinder,29
455,2013,Younis and Pilakoutas,0.47,0,725.33,566.67,340,,2610,,25,,1,60,4x4x4 Cube,53.1
456,2013,Younis and Pilakoutas,0.47,138.27,553.07,566.67,340,2336,2610,25,25,3.6,1,65,4x4x4 Cube,50
457,2013,Younis and Pilakoutas,0.47,328.67,328.67,566.67,340,2315,2610,25,25,3.6,1,60,4x4x4 Cube,45.3
458,2013,Younis and Pilakoutas,0.47,493,164.33,566.67,340,2295,2610,25,25,3.6,1,55,4x4x4 Cube,44
459,2013,Younis and Pilakoutas,0.47,623.33,0,566.67,340,2273,,25,,3.6,,55,4x4x4 Cube,41.6
460,2014,Arezoumandi,0.47,185.5,185.5,700,315,2350,2720,25,25,4.56,0.98,,,45.5
461,2014,Arezoumandi,0.47,237.65,101.85,700,315,2350,2720,25,25,4.56,0.98,,,35.2
462,2014,Butler et al.,0.47,296.27,0,673.33,404,2480,,19,,4.66,,100,,48.2
465,2013,Deng et al.,0.47,0,474.11,656.67,394,,,,,,,,4x4x4 cube,29.6
466,2013,Deng et al.,0.47,474.11,0,656.67,394,,,,,,,,4x4x4 cube,37.4
467,2007,Evangelista and De Brito,0.48,1165.33,0,506.67,380,2165,,20,,6.8,,,6x6x6 Cube,61
468,2007,Poon et al.,0.48,192.19,192.19,640.63,410,2570,2620,20,20,3.5,1.1,,4x4x4 Cube,42.5
469,2007,Rahal,0.48,0,392.73,727.27,400,,2860,,25,,0.7,,4x4x4 Cube,28.9
470,2007,Rahal,0.48,392.73,0,727.27,400,2390,,19,,3.47,,,4x4x4 Cube,27.2
475,2012,Limbachia et al.,0.48,0,701.79,535.71,375,,2510,,22,,1.4,30,6x12 Cylinder,33
476,2012,Limbachia et al.,0.48,210.54,491.25,535.71,375,2340,2510,20,12,5.3,1.4,10,6x12 Cylinder,39
477,2012,Limbachia et al.,0.48,733.37,0,531.43,372,2340,,20,,5.3,,120,6x12 Cylinder,21
